Wavelength,Average,Red,Green,Blue
242.847,0,0,0,0
243.053,0,0,0,0
243.258,0,0,0,0
243.464,0,0,0,0
243.670,0,0,0,0
243.875,0,0,0,0
244.081,0,0,0,0
244.287,0,0,0,0
244.493,0,0,0,0
244.698,0,0,0,0
244.904,0,0,0,0
245.110,0,0,0,0
245.315,0,0,0,0
245.521,0,0,0,0
245.727,0,0,0,0
245.932,0,0,0,0
246.138,0,0,0,0
246.344,0,0,0,0
246.549,0,0,0,0
246.755,0,0,0,0
246.961,0,0,0,0
247.166,0,0,0,0
247.372,0,0,0,0
247.578,0,0,0,0
247.783,0,0,0,0
247.989,0,0,0,0
248.195,0,0,0,0
248.401,0,0,0,0
248.606,0,0,0,0
248.812,0,0,0,0
249.018,0,0,0,0
249.223,0,0,0,0
249.429,0,0,0,0
249.635,0,0,0,0
249.840,0,0,0,0
250.046,0,0,0,0
250.252,0,0,0,0
250.457,0,0,0,0
250.663,0,0,0,0
250.869,0,0,0,0
251.074,0,0,0,0
251.280,0,0,0,0
251.486,0,0,0,0
251.691,0,0,0,0
251.897,0,0,0,0
252.103,0,0,0,0
252.309,0,0,0,0
252.514,0,0,0,0
252.720,0,0,0,0
252.926,0,0,0,0
253.131,0,0,0,0
253.337,0,0,0,0
253.543,0,0,0,0
253.748,0,0,0,0
253.954,0,0,0,0
254.160,0,0,0,0
254.365,0,0,0,0
254.571,0,0,0,0
254.777,0,0,0,0
254.982,0,0,0,0
255.188,0,0,0,0
255.394,0,0,0,0
255.599,0,0,0,0
255.805,0,0,0,0
256.011,0,0,0,0
256.217,0,0,0,0
256.422,0,0,0,0
256.628,0,0,0,0
256.834,0,0,0,0
257.039,0,0,0,0
257.245,0,0,0,0
257.451,0,0,0,0
257.656,0,0,0,0
257.862,0,0,0,0
258.068,0,0,0,0
258.273,0,0,0,0
258.479,0,0,0,0
258.685,0,0,0,0
258.890,0,0,0,0
259.096,0,0,0,0
259.302,0,0,0,0
259.507,0,0,0,0
259.713,0,0,0,0
259.919,0,0,0,0
260.125,0,0,0,0
260.330,0,0,0,0
260.536,0,0,0,0
260.742,0,0,0,0
260.947,0,0,0,0
261.153,0,0,0,0
261.359,0,0,0,0
261.564,0,0,0,0
261.770,0,0,0,0
261.976,0,0,0,0
262.181,0,0,0,0
262.387,0,0,0,0
262.593,0,0,0,0
262.798,0,0,0,0
263.004,0,0,0,0
263.210,0,0,0,0
263.415,0,0,0,0
263.621,0,0,0,0
263.827,0,0,0,0
264.033,0,0,0,0
264.238,0,0,0,0
264.444,0,0,0,0
264.650,0,0,0,0
264.855,0,0,0,0
265.061,0,0,0,0
265.267,0,0,0,0
265.472,0,0,0,0
265.678,0,0,0,0
265.884,0,0,0,0
266.089,0,0,0,0
266.295,0,0,0,0
266.501,0,0,0,0
266.706,0,0,0,0
266.912,0,0,0,0
267.118,0,0,0,0
267.323,0,0,0,0
267.529,0,0,0,0
267.735,0,0,0,0
267.941,0,0,0,0
268.146,0,0,0,0
268.352,0,0,0,0
268.558,0,0,0,0
268.763,0,0,0,0
268.969,0,0,0,0
269.175,0,0,0,0
269.380,0,0,0,0
269.586,0,0,0,0
269.792,0,0,0,0
269.997,0,0,0,0
270.203,0,0,0,0
270.409,0,0,0,0
270.614,0,0,0,0
270.820,0,0,0,0
271.026,0,0,0,0
271.232,0,0,0,0
271.437,0,0,0,0
271.643,0,0,0,0
271.849,0,0,0,0
272.054,0,0,0,0
272.260,0,0,0,0
272.466,0,0,0,0
272.671,0,0,0,0
272.877,0,0,0,0
273.083,0,0,0,0
273.288,0,0,0,0
273.494,0,0,0,0
273.700,0,0,0,0
273.905,0,0,0,0
274.111,0,0,0,0
274.317,0,0,0,0
274.522,0,0,0,0
274.728,0,0,0,0
274.934,0,0,0,0
275.140,0,0,0,0
275.345,0,0,0,0
275.551,0,0,0,0
275.757,0,0,0,0
275.962,0,0,0,0
276.168,0,0,0,0
276.374,0,0,0,0
276.579,0,0,0,0
276.785,0,0,0,0
276.991,0,0,0,0
277.196,0,0,0,0
277.402,0,0,0,0
277.608,0,0,0,0
277.813,0,0,0,0
278.019,0,0,0,0
278.225,0,0,0,0
278.430,0,0,0,0
278.636,0,0,0,0
278.842,0,0,0,0
279.048,0,0,0,0
279.253,0,0,0,0
279.459,0,0,0,0
279.665,0,0,0,0
279.870,0,0,0,0
280.076,0,0,0,0
280.282,0,0,0,0
280.487,0,0,0,0
280.693,0,0,0,0
280.899,0,0,0,0
281.104,0,0,0,0
281.310,0,0,0,0
281.516,0,0,0,0
281.721,0,0,0,0
281.927,0,0,0,0
282.133,0,0,0,0
282.338,0,0,0,0
282.544,0,0,0,0
282.750,0,0,0,0
282.956,0,0,0,0
283.161,0,0,0,0
283.367,0,0,0,0
283.573,0,0,0,0
283.778,0,0,0,0
283.984,0,0,0,0
284.190,0,0,0,0
284.395,0,0,0,0
284.601,0,0,0,0
284.807,0,0,0,0
285.012,0,0,0,0
285.218,0,0,0,0
285.424,0,0,0,0
285.629,0,0,0,0
285.835,0,0,0,0
286.041,0,0,0,0
286.246,0,0,0,0
286.452,0,0,0,0
286.658,0,0,0,0
286.864,0,0,0,0
287.069,0,0,0,0
287.275,0,0,0,0
287.481,0,0,0,0
287.686,0,0,0,0
287.892,0,0,0,0
288.098,0,0,0,0
288.303,0,0,0,0
288.509,0,0,0,0
288.715,0,0,0,0
288.920,0,0,0,0
289.126,0,0,0,0
289.332,0,0,0,0
289.537,0,0,0,0
289.743,0,0,0,0
289.949,0,0,0,0
290.154,0,0,0,0
290.360,0,0,0,0
290.566,0,0,0,0
290.772,0,0,0,0
290.977,0,0,0,0
291.183,0,0,0,0
291.389,0,0,0,0
291.594,0,0,0,0
291.800,0,0,0,0
292.006,0,0,0,0
292.211,0,0,0,0
292.417,0,0,0,0
292.623,0,0,0,0
292.828,0,0,0,0
293.034,0,0,0,0
293.240,0,0,0,0
293.445,0,0,0,0
293.651,0,0,0,0
293.857,0,0,0,0
294.062,0,0,0,0
294.268,0,0,0,0
294.474,0,0,0,0
294.680,0,0,0,0
294.885,0,0,0,0
295.091,0,0,0,0
295.297,0,0,0,0
295.502,0,0,0,0
295.708,0,0,0,0
